"survived","passengerid","title_surname_survival","pclass","sex","age","age_bucket","fare","fare_bucket","title_grouping","is_woman_boy","family_size","is_one_family","is_mix_group","is_alone","cabin_level","embarked"
0,49,0,3,0,"28.32","2","21.6792","0",3,0,3,1,0,0,5,1
0,50,0,3,1,"18","1","17.8","0",1,1,2,1,0,0,6,0
0,51,0,3,0,"7","0","39.6875","0",0,1,6,0,1,0,6,0
0,52,0,3,0,"21","2","7.8","0",3,0,1,0,0,1,6,0
1,53,1,1,1,"49","4","76.7292","2",1,1,2,0,1,0,3,1
1,54,0,2,1,"29","2","26","1",1,1,2,1,0,0,5,0
0,55,0,1,0,"65","6","61.9792","2",3,0,2,1,0,0,1,1
1,56,0,1,0,"42.20","4","35.5","3",3,0,1,0,0,1,2,0
1,57,0,2,1,"21","2","10.5","0",2,1,1,0,0,1,5,0
0,58,0,3,0,"28.5","2","7.2292","0",3,0,1,0,0,1,5,1
1,59,1,2,1,"5","0","27.75","0",2,1,4,1,0,0,5,0
0,60,0,3,0,"11","1","46.9","0",0,1,8,1,0,0,6,0
0,61,0,3,0,"22","2","7.2292","0",3,0,1,0,0,1,5,1
1,62,0,1,1,"38","3","80","3",2,1,1,0,1,0,1,0
0,63,0,1,0,"45","4","83.475","3",3,0,2,1,0,0,2,0
0,64,0,3,0,"4","0","27.9","0",0,1,6,1,0,0,6,0
0,65,0,1,0,"42.20","4","27.7208","2",3,0,1,0,0,1,2,1
1,66,1,3,0,"6.09","0","15.2458","0",0,1,3,1,0,0,5,1
1,67,0,2,1,"29","2","10.5","0",1,1,1,0,0,1,5,0
0,68,0,3,0,"19","1","8.1583","0",3,0,1,0,0,1,6,0
1,69,0,3,1,"17","1","7.925","0",2,1,7,0,0,1,6,0
0,70,0,3,0,"26","2","8.6625","0",3,0,3,0,0,1,6,0
0,71,0,2,0,"32","3","10.5","0",3,0,1,0,0,1,5,0
0,72,0,3,1,"16","1","46.9","0",2,1,8,1,0,0,6,0
0,73,0,2,0,"21","2","73.5","0",3,0,1,0,1,0,5,0
0,74,0,3,0,"26","2","14.4542","0",3,0,2,1,0,0,5,1
1,75,0,3,0,"32","3","56.4958","0",3,0,1,0,1,0,6,0
0,76,0,3,0,"25","2","7.65","0",3,0,1,0,0,1,5,0
0,77,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,6,0
0,78,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
1,79,1,2,0,"0.83","0","29","0",0,1,3,1,0,0,5,0
1,80,0,3,1,"30","3","12.475","0",2,1,1,0,1,0,6,0
0,81,0,3,0,"22","2","9","0",3,0,1,0,0,1,6,0
1,82,0,3,0,"29","2","9.5","0",3,0,1,0,0,1,6,0
1,83,0,3,1,"17.36","1","7.7875","0",2,1,1,0,0,1,5,2
0,84,0,1,0,"28","2","47.1","2",3,0,1,1,0,0,2,0
1,85,0,2,1,"17","1","10.5","0",2,1,1,0,0,1,5,0
1,86,0,3,1,"33","3","15.85","0",1,1,4,1,0,0,6,0
0,87,0,3,0,"16","1","34.375","0",3,0,5,1,0,0,6,0
0,88,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
1,89,1,1,1,"23","2","263","3",2,1,6,1,0,0,2,0
0,90,0,3,0,"24","2","8.05","0",3,0,1,0,0,1,6,0
0,91,0,3,0,"29","2","8.05","0",3,0,1,0,0,1,6,0
0,92,0,3,0,"20","2","7.8542","0",3,0,1,0,0,1,6,0
0,93,0,1,0,"46","4","61.175","2",3,0,2,1,0,0,4,0
0,94,0,3,0,"26","2","20.575","0",3,0,4,1,0,0,6,0
0,95,0,3,0,"59","5","7.25","0",3,0,1,0,0,1,6,0
0,96,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
0,97,0,1,0,"71","7","34.6542","3",3,0,1,0,0,1,0,1
1,98,0,1,0,"23","2","63.3583","2",3,0,2,1,0,0,3,1
1,99,1,2,1,"34","3","23","1",1,1,2,1,0,0,5,0
0,100,0,2,0,"34","3","26","1",3,0,2,1,0,0,5,0
0,101,0,3,1,"28","2","7.8958","0",2,1,1,0,0,1,6,0
0,102,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,6,0
0,103,0,1,0,"21","2","77.2875","3",3,0,2,1,0,0,3,0
0,104,0,3,0,"33","3","8.6542","0",3,0,1,0,0,1,6,0
0,105,0,3,0,"37","3","7.925","0",3,0,3,0,0,1,6,0
0,106,0,3,0,"28","2","7.8958","0",3,0,1,0,0,1,6,0
1,107,0,3,1,"21","2","7.65","0",2,1,1,0,0,1,6,0
1,108,0,3,0,"28.32","2","7.775","0",3,0,1,0,0,1,6,0
0,109,0,3,0,"38","3","7.8958","0",3,0,1,0,0,1,6,0
1,110,0,3,1,"17.36","1","24.15","0",2,1,2,0,1,0,5,2
0,111,0,1,0,"47","4","52","2",3,0,1,0,1,0,2,0
0,112,0,3,1,"14.5","1","14.4542","0",2,1,2,1,0,0,5,1
0,113,0,3,0,"22","2","8.05","0",3,0,1,0,0,1,6,0
0,114,0,3,1,"20","2","9.825","0",2,1,2,0,0,1,6,0
0,115,0,3,1,"17","1","14.4583","0",2,1,1,0,1,0,5,1
0,116,0,3,0,"21","2","7.925","0",3,0,1,0,0,1,6,0
0,117,0,3,0,"70.5","7","7.75","0",3,0,1,0,0,1,5,2
0,118,0,2,0,"29","2","21","0",3,0,2,1,0,0,5,0
0,119,0,1,0,"24","2","247.5208","5",3,0,2,0,1,0,1,1
0,120,0,3,1,"2","0","31.275","0",2,1,7,1,0,0,6,0
0,121,0,2,0,"21","2","73.5","0",3,0,3,0,1,0,5,0
0,122,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
0,123,0,2,0,"32.5","3","30.0708","1",3,0,2,1,0,0,3,1
1,124,0,2,1,"32.5","3","13","1",2,1,1,0,0,1,4,0
0,125,0,1,0,"54","5","77.2875","3",3,0,2,1,0,0,3,0
1,126,1,3,0,"12","1","11.2417","0",0,1,2,1,0,0,5,1
0,127,0,3,0,"28.32","2","7.75","0",3,0,1,0,0,1,5,2
1,128,0,3,0,"24","2","7.1417","0",3,0,1,0,0,1,6,0
1,129,1,3,1,"17.36","1","22.3583","0",2,1,3,1,0,0,5,1
0,130,0,3,0,"45","4","6.975","0",3,0,1,0,0,1,6,0
0,131,0,3,0,"33","3","7.8958","0",3,0,1,0,0,1,5,1
0,132,0,3,0,"20","2","7.05","0",3,0,1,0,0,1,6,0
0,133,0,3,1,"47","4","14.5","0",1,1,2,1,0,0,6,0
1,134,0,2,1,"29","2","26","1",1,1,2,1,0,0,5,0
0,135,0,2,0,"25","2","13","1",3,0,1,0,0,1,5,0
0,136,0,2,0,"23","2","15.0458","1",3,0,1,0,0,1,3,1
1,137,0,1,1,"19","1","26.2833","2",2,1,3,0,0,1,3,0
0,138,0,1,0,"37","3","53.1","2",3,0,2,1,0,0,2,0
0,139,0,3,0,"16","1","9.2167","0",3,0,1,0,1,0,6,0
0,140,0,1,0,"24","2","79.2","3",3,0,1,0,1,0,1,1
0,141,0,3,1,"32.33","3","15.2458","0",1,1,3,1,0,0,5,1
1,142,0,3,1,"22","2","7.75","0",2,1,1,0,0,1,6,0
1,143,0,3,1,"24","2","15.85","0",1,1,2,1,0,0,6,0
0,144,0,3,0,"19","1","6.75","0",3,0,1,0,0,1,5,2
0,145,0,2,0,"18","1","11.5","1",3,0,1,0,0,1,5,0
0,146,0,2,0,"19","1","36.75","0",3,0,3,0,1,0,5,0
1,147,0,3,0,"27","2","7.7958","0",3,0,1,0,0,1,6,0
0,148,0,3,1,"9","0","34.375","0",2,1,5,1,0,0,6,0
0,149,0,2,0,"36.5","3","26","0",3,0,3,1,0,0,5,0
0,150,0,2,0,"42","4","13","1",3,0,1,0,0,1,5,0
0,151,0,2,0,"51","5","12.525","1",3,0,1,0,0,1,5,0
1,152,0,1,1,"22","2","66.6","3",1,1,2,1,0,0,2,0
0,153,0,3,0,"55.5","5","8.05","0",3,0,1,0,0,1,6,0
0,154,0,3,0,"40.5","4","14.5","0",3,0,3,1,0,0,6,0
0,155,0,3,0,"28.32","2","7.3125","0",3,0,1,0,0,1,6,0
0,156,0,1,0,"51","5","61.3792","2",3,0,2,1,0,0,2,1
1,157,0,3,1,"16","1","7.7333","0",2,1,1,0,0,1,5,2
0,158,0,3,0,"30","3","8.05","0",3,0,1,0,0,1,6,0
0,159,0,3,0,"28.32","2","8.6625","0",3,0,1,0,0,1,6,0
0,160,0,3,0,"6.09","0","69.55","0",0,1,11,1,0,0,6,0
0,161,0,3,0,"44","4","16.1","0",3,0,2,1,0,0,6,0
1,162,1,2,1,"40","4","15.75","0",1,1,1,1,0,0,5,0
0,163,0,3,0,"26","2","7.775","0",3,0,1,0,0,1,6,0
0,164,0,3,0,"17","1","8.6625","0",3,0,1,0,0,1,6,0
0,165,0,3,0,"1","0","39.6875","0",0,1,6,0,1,0,6,0
1,166,1,3,0,"9","0","20.525","0",0,1,3,1,0,0,6,0
1,167,0,1,1,"42.89","4","55","2",1,1,2,0,1,0,4,0
0,168,0,3,1,"45","4","27.9","0",1,1,6,1,0,0,6,0
0,169,0,1,0,"42.20","4","25.925","2",3,0,1,0,0,1,2,0
0,170,0,3,0,"28","2","56.4958","0",3,0,1,0,1,0,6,0
0,171,0,1,0,"61","6","33.5","3",3,0,1,0,0,1,1,0
0,172,0,3,0,"4","0","29.125","0",0,1,6,1,0,0,5,2
1,173,1,3,1,"1","0","11.1333","0",2,1,3,1,0,0,6,0
0,174,0,3,0,"21","2","7.925","0",3,0,1,0,0,1,6,0
0,175,0,1,0,"56","5","30.6958","2",3,0,1,0,0,1,0,1
0,176,0,3,0,"18","1","7.8542","0",3,0,3,0,0,1,6,0
0,177,0,3,0,"6.09","0","25.4667","0",0,1,5,1,0,0,6,0
0,178,0,1,1,"50","5","28.7125","2",2,1,1,0,0,1,2,1
0,179,0,2,0,"30","3","13","1",3,0,1,0,0,1,5,0
0,180,0,3,0,"36","3","0","0",3,0,1,0,1,0,6,0
0,181,0,3,1,"17.36","1","69.55","0",2,1,11,1,0,0,6,0
0,182,0,2,0,"32.91","3","15.05","1",3,0,1,0,0,1,3,1
0,183,1,3,0,"9","0","31.3875","0",0,1,7,1,0,0,6,0
1,184,1,2,0,"1","0","39","0",0,1,4,1,0,0,5,0
1,185,1,3,1,"4","0","22.025","0",2,1,5,1,0,0,6,0
0,186,0,1,0,"42.20","4","50","4",3,0,1,0,0,1,0,0
1,187,0,3,1,"32.33","3","15.5","0",1,1,2,1,0,0,5,2
1,188,0,1,0,"45","4","26.55","2",3,0,1,0,0,1,2,0
0,189,0,3,0,"40","4","15.5","0",3,0,3,1,0,0,5,2
0,190,0,3,0,"36","3","7.8958","0",3,0,1,0,0,1,6,0
1,191,0,2,1,"32","3","13","1",1,1,1,0,0,1,5,0
0,192,0,2,0,"19","1","13","1",3,0,1,0,0,1,5,0
1,193,0,3,1,"19","1","7.8542","0",2,1,2,0,0,1,6,0
1,194,1,2,0,"3","0","26","0",0,1,3,1,0,0,5,0
1,195,1,1,1,"44","4","27.7208","2",1,1,1,0,0,1,1,1
1,196,0,1,1,"58","5","146.5208","4",2,1,1,0,1,0,1,1
0,197,0,3,0,"28.32","2","7.75","0",3,0,1,0,0,1,5,2
0,198,0,3,0,"42","4","8.4042","0",3,0,2,0,0,1,6,0
1,199,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
0,200,0,2,1,"24","2","13","1",2,1,1,0,0,1,5,0
0,201,0,3,0,"28","2","9.5","0",3,0,1,0,0,1,6,0
0,202,0,3,0,"28.32","2","69.55","0",3,0,11,1,0,0,6,0
0,203,0,3,0,"34","3","6.4958","0",3,0,1,0,0,1,6,0
0,204,0,3,0,"45.5","4","7.225","0",3,0,1,0,0,1,5,1
1,205,0,3,0,"18","1","8.05","0",3,0,1,0,0,1,6,0
0,206,0,3,1,"2","0","10.4625","0",2,1,3,1,0,0,6,0
0,207,0,3,0,"32","3","15.85","0",3,0,4,1,0,0,6,0
1,208,0,3,0,"26","2","18.7875","0",3,0,1,0,1,0,5,1
1,209,1,3,1,"16","1","7.75","0",2,1,1,0,0,1,5,2
1,210,0,1,0,"40","4","31","2",3,0,1,0,0,1,0,1
0,211,0,3,0,"24","2","7.05","0",3,0,1,0,0,1,6,0
1,212,0,2,1,"35","3","21","0",2,1,1,0,1,0,5,0
0,213,0,3,0,"22","2","7.25","0",3,0,1,0,0,1,6,0
0,214,0,2,0,"30","3","13","1",3,0,1,0,0,1,5,0
0,215,0,3,0,"28.32","2","7.75","0",3,0,2,0,0,1,5,2
1,216,1,1,1,"31","3","113.275","3",2,1,3,1,0,0,3,1
1,217,0,3,1,"27","2","7.925","0",2,1,1,0,0,1,6,0
0,218,0,2,0,"42","4","27","1",3,0,4,1,0,0,5,0
1,219,0,1,1,"32","3","76.2917","3",2,1,1,0,1,0,3,1
0,220,0,2,0,"30","3","10.5","0",3,0,1,0,0,1,5,0
1,221,0,3,0,"16","1","8.05","0",3,0,1,0,0,1,6,0
0,222,0,2,0,"27","2","13","1",3,0,1,0,0,1,5,0
0,223,0,3,0,"51","5","8.05","0",3,0,1,0,0,1,6,0
0,224,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,6,0
1,225,0,1,0,"38","3","90","4",3,0,2,1,0,0,2,0
0,226,0,3,0,"22","2","9.35","0",3,0,1,0,0,1,6,0
1,227,0,2,0,"19","1","10.5","0",3,0,1,0,0,1,5,0
0,228,0,3,0,"20.5","2","7.25","0",3,0,1,0,0,1,6,0
0,229,0,2,0,"18","1","13","1",3,0,1,0,0,1,5,0
0,230,0,3,1,"17.36","1","25.4667","0",2,1,5,1,0,0,6,0
1,231,0,1,1,"35","3","83.475","3",1,1,2,1,0,0,2,0
0,232,0,3,0,"29","2","7.775","0",3,0,1,0,0,1,6,0
0,233,0,2,0,"59","5","13.5","1",3,0,1,0,0,1,5,0
1,234,1,3,1,"5","0","31.3875","0",2,1,7,1,0,0,6,0
0,235,0,2,0,"24","2","10.5","0",3,0,1,0,0,1,5,0
0,236,0,3,1,"17.36","1","7.55","0",2,1,1,0,0,1,6,0
0,237,0,2,0,"44","4","26","1",3,0,2,1,0,0,5,0
1,238,1,2,1,"8","0","26.25","0",2,1,3,1,0,0,5,0
0,239,0,2,0,"19","1","10.5","0",3,0,1,0,0,1,5,0
0,240,0,2,0,"33","3","12.275","1",3,0,1,0,0,1,5,0
0,241,0,3,1,"17.36","1","14.4542","0",2,1,2,1,0,0,5,1
1,242,1,3,1,"17.36","1","15.5","0",2,1,2,1,0,0,5,2
0,243,0,2,0,"29","2","10.5","0",3,0,1,0,0,1,5,0
0,244,0,3,0,"22","2","7.125","0",3,0,1,0,0,1,6,0
0,245,0,3,0,"30","3","7.225","0",3,0,1,0,0,1,5,1
0,246,0,1,0,"44","4","90","2",3,0,3,1,0,0,2,2
0,247,0,3,1,"25","2","7.775","0",2,1,1,0,0,1,6,0
1,248,1,2,1,"24","2","14.5","0",1,1,3,1,0,0,5,0
1,249,0,1,0,"37","3","52.5542","2",3,0,3,1,0,0,3,0
0,250,0,2,0,"54","5","26","1",3,0,2,1,0,0,5,0
0,251,0,3,0,"28.32","2","7.25","0",3,0,1,0,0,1,6,0
0,252,0,3,1,"29","2","10.4625","0",1,1,3,1,0,0,6,0
0,253,0,1,0,"62","6","26.55","2",3,0,1,0,0,1,2,0
0,254,0,3,0,"30","3","16.1","0",3,0,2,1,0,0,6,0
0,255,0,3,1,"41","4","20.2125","0",1,1,3,1,0,0,6,0
1,256,1,3,1,"29","2","15.2458","0",1,1,3,1,0,0,5,1
1,257,0,1,1,"42.89","4","79.2","3",1,1,1,0,1,0,2,1
1,258,0,1,1,"30","3","86.5","2",2,1,1,0,1,0,1,0
1,259,0,1,1,"35","3","512.3292","5",2,1,1,0,1,0,2,1
1,260,0,2,1,"50","5","26","1",1,1,2,0,1,0,5,0
0,261,0,3,0,"28.32","2","7.75","0",3,0,1,0,0,1,5,2
1,262,1,3,0,"3","0","31.3875","0",0,1,7,1,0,0,6,0
0,263,0,1,0,"52","5","79.65","2",3,0,3,1,0,0,4,0
0,264,0,1,0,"40","4","0","0",3,0,1,0,0,1,1,0
0,265,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
0,266,0,2,0,"36","3","10.5","0",3,0,1,0,0,1,5,0
0,267,0,3,0,"16","1","39.6875","0",3,0,6,0,1,0,6,0
1,268,0,3,0,"25","2","7.775","0",3,0,2,0,0,1,6,0
1,269,1,1,1,"58","5","153.4625","4",1,1,2,0,1,0,2,0
1,270,0,1,1,"35","3","135.6333","3",2,1,1,0,1,0,2,0
0,271,0,1,0,"42.20","4","31","1",3,0,1,0,1,0,2,0
1,272,0,3,0,"25","2","0","0",3,0,1,0,1,0,6,0
1,273,1,2,1,"41","4","19.5","0",1,1,2,1,0,0,5,0
0,274,0,1,0,"37","3","29.7","2",3,0,2,0,0,1,2,1
1,275,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
1,276,0,1,1,"63","6","77.9583","2",2,1,2,0,1,0,3,0
0,277,0,3,1,"45","4","7.75","0",2,1,1,0,0,1,6,0
0,278,0,2,0,"32.91","3","0","0",3,0,1,0,1,0,5,0
0,279,0,3,0,"7","0","29.125","0",0,1,6,1,0,0,5,2
1,280,1,3,1,"35","3","20.25","0",1,1,3,1,0,0,6,0
0,281,0,3,0,"65","6","7.75","0",3,0,1,0,0,1,5,2
0,282,0,3,0,"28","2","7.8542","0",3,0,1,0,0,1,6,0
0,283,0,3,0,"16","1","9.5","0",3,0,1,0,0,1,6,0
1,284,0,3,0,"19","1","8.05","0",3,0,1,0,0,1,6,0
0,285,0,1,0,"42.20","4","26","2",3,0,1,0,0,1,0,0
0,286,0,3,0,"33","3","8.6625","0",3,0,1,0,0,1,5,1
1,287,0,3,0,"30","3","9.5","0",3,0,1,0,0,1,6,0
0,288,0,3,0,"22","2","7.8958","0",3,0,1,0,0,1,6,0
1,289,0,2,0,"42","4","13","1",3,0,1,0,0,1,5,0
1,290,1,3,1,"22","2","7.75","0",2,1,1,0,0,1,5,2
1,291,0,1,1,"26","2","78.85","2",2,1,1,0,1,0,2,0
1,292,0,1,1,"19","1","91.0792","4",1,1,2,1,0,0,1,1
0,293,0,2,0,"36","3","12.875","1",3,0,1,0,0,1,3,1
0,294,0,3,1,"24","2","8.85","0",2,1,1,0,0,1,6,0
0,295,0,3,0,"24","2","7.8958","0",3,0,1,0,0,1,6,0
0,296,0,1,0,"42.20","4","27.7208","2",3,0,1,0,0,1,2,1
0,297,0,3,0,"23.5","2","7.2292","0",3,0,1,0,0,1,5,1
0,298,0,1,1,"2","0","151.55","2",2,1,4,0,1,0,2,0
1,299,0,1,0,"42.20","4","30.5","2",3,0,1,0,0,1,2,0
1,300,0,1,1,"50","5","247.5208","5",1,1,2,0,1,0,1,1
1,301,1,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
1,302,0,3,0,"28.32","2","23.25","0",3,0,3,1,0,0,5,2
0,303,0,3,0,"19","1","0","0",3,0,1,0,1,0,6,0
1,304,0,2,1,"20.72","2","12.35","1",2,1,1,0,0,1,4,2
0,305,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
1,306,0,1,0,"0.92","0","151.55","2",0,1,4,0,1,0,2,0
1,307,1,1,1,"30.13","3","110.8833","2",2,1,1,0,1,0,2,1
1,308,0,1,1,"17","1","108.9","3",1,1,2,0,1,0,2,1
0,309,0,2,0,"30","3","24","1",3,0,2,1,0,0,3,1
1,310,0,1,1,"30","3","56.9292","2",2,1,1,0,1,0,4,1
1,311,1,1,1,"24","2","83.1583","2",2,1,1,0,1,0,2,1
1,312,1,1,1,"18","1","262.375","3",2,1,5,0,1,0,1,1
0,313,0,2,1,"26","2","26","1",1,1,3,1,0,0,5,0
0,314,0,3,0,"28","2","7.8958","0",3,0,1,0,0,1,6,0
0,315,0,2,0,"43","4","26.25","0",3,0,3,1,0,0,5,0
1,316,1,3,1,"26","2","7.8542","0",2,1,1,0,0,1,6,0
1,317,0,2,1,"24","2","26","1",1,1,2,1,0,0,5,0
0,318,0,2,0,"54","5","14","1",3,0,1,0,0,1,5,0
1,319,1,1,1,"31","3","164.8667","3",2,1,3,0,1,0,2,0
1,320,1,1,1,"40","4","134.5","2",1,1,3,0,1,0,4,1
0,321,0,3,0,"22","2","7.25","0",3,0,1,0,0,1,6,0
0,322,0,3,0,"27","2","7.8958","0",3,0,1,0,0,1,6,0
1,323,0,2,1,"30","3","12.35","1",2,1,1,0,0,1,4,2
1,324,1,2,1,"22","2","29","0",1,1,3,1,0,0,5,0
0,325,0,3,0,"28.32","2","69.55","0",3,0,11,1,0,0,6,0
1,326,0,1,1,"36","3","135.6333","3",2,1,1,0,1,0,2,1
0,327,0,3,0,"61","6","6.2375","0",3,0,1,0,0,1,6,0
1,328,0,2,1,"36","3","13","1",1,1,1,0,0,1,3,0
1,329,1,3,1,"31","3","20.525","0",1,1,3,1,0,0,6,0
1,330,1,1,1,"16","1","57.9792","2",2,1,2,1,0,0,1,1
1,331,1,3,1,"17.36","1","23.25","0",2,1,3,1,0,0,5,2
0,332,0,1,0,"45.5","4","28.5","2",3,0,1,0,0,1,2,0
0,333,0,1,0,"38","3","153.4625","4",3,0,2,0,1,0,2,0
0,334,0,3,0,"16","1","18","0",3,0,3,1,0,0,6,0
1,335,0,1,1,"42.89","4","133.65","5",1,1,3,1,0,0,2,0
0,336,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,6,0
0,337,0,1,0,"29","2","66.6","3",3,0,2,1,0,0,2,0
1,338,1,1,1,"41","4","134.5","2",2,1,1,0,1,0,4,1
1,339,0,3,0,"45","4","8.05","0",3,0,1,0,0,1,6,0
0,340,0,1,0,"45","4","35.5","3",3,0,1,0,0,1,7,0
1,341,1,2,0,"2","0","26","0",0,1,3,1,0,0,5,0
1,342,1,1,1,"24","2","263","3",2,1,6,1,0,0,2,0
0,343,0,2,0,"28","2","13","1",3,0,1,0,0,1,5,0
0,344,0,2,0,"25","2","13","1",3,0,1,0,0,1,5,0
0,345,0,2,0,"36","3","13","1",3,0,1,0,0,1,5,0
1,346,1,2,1,"24","2","13","1",2,1,1,0,0,1,5,0
1,347,1,2,1,"40","4","13","1",2,1,1,0,0,1,5,0
1,348,0,3,1,"32.33","3","16.1","0",1,1,2,1,0,0,6,0
1,349,1,3,0,"3","0","15.9","0",0,1,3,1,0,0,6,0
0,350,0,3,0,"42","4","8.6625","0",3,0,1,0,0,1,6,0
0,351,0,3,0,"23","2","9.225","0",3,0,1,0,0,1,6,0
0,352,0,1,0,"42.20","4","35","3",3,0,1,0,0,1,2,0
0,353,0,3,0,"15","1","7.2292","0",3,0,3,0,0,1,5,1
0,354,0,3,0,"25","2","17.8","0",3,0,2,1,0,0,6,0
0,355,0,3,0,"28.32","2","7.225","0",3,0,1,0,0,1,5,1
0,356,0,3,0,"28","2","9.5","0",3,0,1,0,0,1,6,0
1,357,0,1,1,"22","2","55","2",2,1,2,0,1,0,4,0
0,358,0,2,1,"38","3","13","1",2,1,1,0,0,1,5,0
1,359,0,3,1,"17.36","1","7.8792","0",2,1,1,0,0,1,5,2
1,360,0,3,1,"17.36","1","7.8792","0",2,1,1,0,0,1,5,2
0,361,0,3,0,"40","4","27.9","0",3,0,6,1,0,0,6,0
0,362,0,2,0,"29","2","27.7208","1",3,0,2,1,0,0,3,1
0,363,0,3,1,"45","4","14.4542","0",1,1,2,1,0,0,5,1
0,364,0,3,0,"35","3","7.05","0",3,0,1,0,0,1,6,0
0,365,0,3,0,"28.32","2","15.5","0",3,0,2,1,0,0,5,2
0,366,0,3,0,"30","3","7.25","0",3,0,1,0,0,1,6,0
1,367,0,1,1,"60","6","75.25","3",1,1,2,1,0,0,3,1
1,368,0,3,1,"32.33","3","7.2292","0",1,1,1,0,0,1,5,1
1,369,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
